id,date,description,debit,credit,account_ref
BNK-000026,13/01/2024,Xidmət haqqı - Qızıl Balıq Restoranı,,"518,19",TEST299659
BNK-000027,27/03/2024,Ödəniş  -  Günəş  Ticarət  MMC,,"3.397,84",TEST156802
BNK-000028,26/02/2024,Mədaxil  -  Bahar  Qida  MMC,,"1.470,37",TEST246991
BNK-000029,02/01/2024,Ödəniş - Ulduz Tekstil,,"498,96",TEST666847
BNK-000030,02/01/2024,Ödəniş - Xəzər Konsalting,,"498,96",TEST666847
BNK-000031,01/01/2024,  Mədaxil - Nərgiz Dizayn Studiyası ,,"2.056,93",TEST497382
BNK-000032,15/03/2024,Ödəniş  -  Zümrüd  logistika,,"3.867,38",TEST161324
BNK-000033,13/01/2024,Ödəniş - Xəzər Konsalting,,"430,01",TEST265080
BNK-000034,16/01/2024,Ödəniş - İpək Yolu Ticarət,,"4.946,67",TEST523389
BNK-000035,15/03/2024,Mədaxil - Zümrüd Logistika,,"2.973,41",TEST789305
BNK-000036,03/02/2024,ÖDƏNIŞ  -  Xəzər  Konsalting,,"2.085,05",TEST350280
BNK-000037,03/02/2024,Fatura ödənişi - Özn...,,"704,45",TEST630458
BNK-000038,13/02/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"4.241,52",TEST837715
BNK-000039,15/01/2024,Fatura ödənişi - Günəş Ticarət MMC,,"4.674,65",TEST377312
BNK-000040,27/01/2024,Ödəniş - Zümrüd Logistika,,"7.309,82",TEST459536
BNK-000041,22/03/2024,  Fatura ödənişi - Nərgiz Dizayn Studiyası ,,"2.230,75",TEST196781
BNK-000042,29/02/2024,Ödəniş - Günəş Ticarət MMC,,"60,69",TEST678478
BNK-000043,05/01/2024,Xidmət  haqqı  -  Öznur  Xidmətləri,,"4.385,68",TEST672092
BNK-000044,27/01/2024,Malların dəyəri - Ulduz Tekstil,,"3.585,99",TEST475190
BNK-000045,20/01/2024,Mədaxil - Ulduz Tekstil,,"4.863,66",TEST750810
BNK-000046,12/02/2024,Xidmət haqqı - Çinar Tikinti MMC,,"4.111,95",TEST288073
BNK-000047,30/01/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"1.843,21",TEST333238
BNK-000048,05/02/2024,Malların dəyəri - Günəş Ticarət MMC,,"4.541,69",TEST444207
BNK-000049,05/01/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"4.608,20",TEST447235
BNK-000050,17/03/2024,Malların  dəyəri  -  Öznur  XIDMƏTLƏRI,,"2.288,36",TEST213668
BNK-000051,25/02/2024,Mədaxil - Zümrüd Logistika,,"18,86",TEST843215
BNK-000052,12/02/2024,Fatura ödənişi - Öznur Xidmətləri,,"3.277,12",TEST796503
BNK-000053,21/02/2024,Toplu mədaxil,,"1.044,01",TEST528231
BNK-000054,01/01/2024,Malların dəyəri - Nərgiz Dizayn Studiyası,,"1.603,17",TEST674553
BNK-000055,26/02/2024,Mədaxil - Qızıl Balıq Restoranı,,"2.328,19",TEST587575
BNK-000056,25/03/2024,Mədaxil - İpək Yolu Ticarət,,"3.328,43",TEST640490
BNK-000057,06/01/2024,Ödəniş - Bahar Qida MMC,,"1.293,68",TEST125611
BNK-000058,25/01/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"3.776,20",TEST703634
BNK-000059,25/01/2024,ödəniş  -  Çinar  Tikinti  MMC,,"3.776,20",TEST703634
BNK-000060,30/03/2024,Ödəniş - Bahar Qida MMC,,"2.725,59",TEST284430
BNK-000061,13/03/2024,Xidmət haqqı - Öznur Xidmətləri,,"3.131,88",TEST800005
BNK-000062,15/03/2024,Xidmət haqqı - Xəzər Konsalting,,"4.713,95",TEST547470
BNK-000063,07/03/2024,  Ödəniş - Qızıl Balıq Restoranı ,,"2.550,68",TEST390782
BNK-000064,07/03/2024,Ödəniş -...,,"2.550,68",TEST390782
BNK-000065,30/01/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"2.018,20",TEST258157
BNK-000066,29/02/2024,Xidmət haqqı - Şəms MMC,,"2.189,85",TEST668969
BNK-000067,08/02/2024,Malların dəyəri - Çinar Tikinti MMC,,"3.960,37",TEST468845
BNK-000068,29/01/2024,Xidmət haqqı - Çinar Tikinti MMC,,"1.440,96",TEST611945
BNK-000069,25/03/2024,Malların  dəyəri  -  Çinar  Tikinti  MMC,,"151,38",TEST233827
BNK-000070,10/01/2024,Mədaxil - Öznur Xi...,,"1.997,59",TEST290556
BNK-000071,23/02/2024,  Fatura ödənişi - Günəş Ticarət MMC ,,"1.332,62",TEST888539
BNK-000072,24/03/2024,Ödəniş - Şəms MMC,,"221,06",TEST919182
BNK-000073,01/03/2024,Xidmət haqqı - Günəş Ticarət MMC,,"3.519,89",TEST232352
BNK-000074,22/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"3.193,72",TEST486814
BNK-000075,14/01/2024,Xidmət haqqı - Şəms MMC,,"3.043,97",TEST426147
BNK-000076,10/01/2024,Ödəniş - Günəş Ticarət MM...,,"6.380,59",TEST307963
BNK-000077,13/03/2024,Fatura  ödənişi  -  Şəms  MMC,,"4.113,26",TEST934904
BNK-000078,03/03/2024,Xidmət haqqı - Çinar Tikinti MMC,,"563,32",TEST962276
BNK-000079,10/03/2024,Xidmət haqqı - Zümrüd Logistika,,"3.239,15",TEST284692
BNK-000080,27/02/2024,Xidmət haqqı - Bahar...,,"1.288,54",TEST392477
BNK-000081,03/03/2024,Fatura ödənişi - Öznur Xidmətləri,,"1.122,11",TEST290672
BNK-000082,13/01/2024,  Xidmət haqqı - Çinar Tikinti MMC ,,"3.785,26",TEST300337
BNK-000083,07/03/2024,Ödəniş - Şəms MMC,,"4.167,25",TEST777278
BNK-000084,15/03/2024,Xidmət haqqı - Bahar Qida MMC,,"1.944,72",TEST796212
BNK-000085,25/01/2024,  Mədaxil - Günəş Ticarət MMC ,,"1.664,38",TEST226516
BNK-000086,05/02/2024,Ödəniş - Zümrüd Logistika,,"3.101,13",TEST607719
BNK-000087,30/01/2024,Ödəniş - Xəzər Konsalting,,"1.902,05",TEST410636
BNK-000088,30/11/2023,Ödəniş - Nərgiz Dizayn Studiyası,,"3.019,74",TEST614723
BNK-000089,02/02/2024,Xidmət haqqı - Bahar Qida MMC,,"4.943,88",TEST153872
BNK-000090,12/03/2024,  Malların dəyəri - Çinar Tikinti MMC ,,"4.017,88",TEST224205
BNK-000091,02/03/2024,Xidmət  haqqı  -  İpək  Yolu  TICARƏT,,"1.568,98",TEST498855
BNK-000092,20/02/2024,ÖDƏNIŞ  -  Qızıl  Balıq  Restoranı,,"1.397,50",TEST317881
BNK-000093,07/02/2024,Toplu mədaxil,,"391,90",TEST722656
BNK-000094,15/01/2024,Mədaxil  -  Ulduz  Tekstil,,"2.865,07",TEST545790
BNK-000095,12/02/2024,Malların dəyəri - Nərgiz Dizayn Studiyası,,"4.952,33",TEST822131
BNK-000096,30/01/2024,Fatura ödənişi - İpək Yolu Ticarət,,"3.545,26",TEST195763
BNK-000097,08/03/2024,Ödəniş - Qızıl Balıq Res...,,"2.730,86",TEST893005
BNK-000098,04/03/2024,Xidmət  HAQQI  -  Öznur  Xidmətləri,,"2.474,20",TEST765620
BNK-000099,25/03/2024,Toplu mədaxil,,"676,99",TEST619536
BNK-000100,09/01/2024,Malların dəyəri - Öznur Xidmətləri,,"2.728,11",TEST533321
BNK-000101,26/02/2024,Ödəniş - Xəzər Konsalting,,"2.889,49",TEST154118
BNK-000102,04/01/2024,Toplu mədaxil,,"831,92",TEST608257
BNK-000103,15/01/2024,Fatura ödənişi - Günəş Ticarət MMC,,"2.429,31",TEST335615
BNK-000104,02/03/2024,  Xidmət haqqı - Ulduz Tekstil ,,"2.485,79",TEST535673
BNK-000105,05/03/2024,Malların dəyəri - Şəms MMC,,"1.410,75",TEST925981
BNK-000106,27/02/2024,Toplu mədaxil,,"690,37",TEST613425
BNK-000107,30/03/2024,Xidmət  haqqı  -  İpək  Yolu  TICARƏT,,"1.262,02",TEST297816
BNK-000108,25/03/2024,Ödəniş  -  Qızıl  Balıq  RESTORANI,,"4.164,42",TEST504832
BNK-000109,26/02/2024,Mədaxil  -  ZÜMRÜD  Logistika,,"532,77",TEST986088
BNK-000110,11/01/2024,Toplu mədaxil,,"1.296,01",TEST516791
BNK-000111,22/03/2024,Fatura ödənişi - Günəş Ticarət MMC,,"3.700,41",TEST897305
BNK-000112,08/01/2024,Mədaxil - Öznur Xidmətləri,,"1.548,09",TEST440131
BNK-000113,15/03/2024,Xidmət...,,"760,34",TEST621841
BNK-000114,01/04/2024,Xidmət haqqı - Günəş Ticarət MMC,,"838,24",TEST401603
BNK-000115,24/02/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"3.629,23",TEST769975
BNK-000116,04/02/2024,Malların dəyəri - Öznur Xidmətlə...,,"3.008,52",TEST211834
BNK-000117,02/01/2024,Toplu mədaxil,,"1.338,34",TEST515032
BNK-000118,27/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"3.971,40",TEST362801
BNK-000119,27/03/2024,Ödəniş - Qızıl Balıq...,,"3.971,40",TEST362801
BNK-000120,16/02/2024,Fatura ödənişi - Xəzər Konsalting,,"3.849,67",TEST707727
BNK-000121,17/01/2024,Fatura ödənişi - Zümrüd Logistika,,"4.133,59",TEST310548
BNK-000122,02/03/2024,Xidmət haqqı - Nərgiz Dizayn Studiyası,,"4.238,32",TEST964749
BNK-000123,29/01/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"4.519,61",TEST890785
BNK-000124,03/02/2024,Fatura ödənişi - Günəş Ticarət MMC,,"2.823,18",TEST114594
BNK-000125,14/01/2024,Ödəniş  -  Ulduz  tekstil,,"3.548,08",TEST489518
BNK-000126,14/01/2024,Ödəniş - Bahar Qida...,,"3.548,08",TEST489518
BNK-000127,06/01/2024,Ödəniş  -  Şəms  MMC,,"4.971,13",TEST246566
BNK-000128,30/03/2024,Mədaxil - Zümrüd Logistika,,"4.969,62",TEST803055
BNK-000129,03/03/2024,  Ödəniş - Çinar Tikinti MMC ,,"3.237,79",TEST203831
BNK-000130,03/03/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"3.237,79",TEST203831
BNK-000131,23/03/2024,Toplu mədaxil,,"756,46",TEST485178
BNK-000132,13/03/2024,Mədaxil - Günəş Ticarət MMC,,"1.085,86",TEST232040
BNK-000133,19/01/2024,Mədaxil - İpək Yolu Ticarət,,"4.144,76",TEST444519
BNK-000134,25/03/2024,  Ödəniş - Şəms MMC ,,"4.552,68",TEST215266
BNK-000135,23/02/2024,Fatura ödənişi - Günəş Ticarət MMC,,"2.768,20",TEST232915
BNK-000136,05/03/2024,Malların dəyəri - İpək Yol...,,"1.171,55",TEST573962
BNK-000137,02/03/2024,Xidmət haqqı - Çinar Tikinti MMC,,"4.452,28",TEST163780
BNK-000138,14/01/2024,Ödəniş - Xəzər Konsalting,,"3.199,23",TEST177060
BNK-000139,05/03/2024,Ödəniş - Çinar Tikinti MMC,,"3.184,18",TEST575755
BNK-000140,11/03/2024,Ödəniş - Ulduz Tekst...,,"3.789,27",TEST906315
BNK-000141,11/03/2024,Ödəniş - Çinar Tikinti MMC,,"3.789,27",TEST906315
BNK-000142,10/02/2024,Ödəniş - Qızıl Balıq Restoranı,,"1.648,52",TEST199704
BNK-000143,13/01/2024,Ödəniş - Çinar Tikinti MMC,,"498,79",TEST170394
BNK-000144,08/01/2024,Xidmət haqqı - Zümrüd Logistika,,"3.084,76",TEST683397
BNK-000145,07/01/2024,Toplu mədaxil,,"816,74",TEST886730
BNK-000146,12/03/2024,Malların  dəyəri  -  İpək  Yolu  ticarət,,"4.033,55",TEST986209
BNK-000147,24/01/2024,Fatura  ödənişi  -  Şəfəq  Baytarlıq  Kliniki,,"1.442,72",TEST130359
BNK-000148,19/01/2024,Xidmət haqqı - Qızıl Balıq Restoranı,,"3.894,81",TEST172965
BNK-000149,09/02/2024,  Ödəniş - Öznur Xidmətləri ,,"3.793,24",TEST488028
BNK-000150,23/11/2023,Ödəniş - Bahar Qida MMC,,"1.436,60",TEST747850
BNK-000151,06/02/2024,Ödəniş - Zümrüd Logistik...,,"3.968,07",TEST534303
BNK-000152,29/03/2024,Xidmət  HAQQI  -  Ulduz  Tekstil,,"248,11",TEST652530
BNK-000153,18/01/2024,Xidmət haqqı - Nərgiz Dizayn Studiyası,,"4.016,40",TEST904624
BNK-000154,18/02/2024,Fatura  ödənişi  -  Şəfəq  Baytarlıq  KLINIKI,,"2.802,26",TEST235461
BNK-000155,10/01/2024,Xidmət haqqı - Öznur Xidmətləri,,"4.529,93",TEST582087
BNK-000156,15/01/2024,Malların dəyəri - Şəms MMC,,"2.133,53",TEST403578
BNK-000157,25/02/2024,Toplu mədaxil,,"248,82",TEST479430
BNK-000158,29/01/2024,  Ödəniş - Xəzər Konsalting ,,"4.094,82",TEST456005
BNK-000159,15/01/2024,  Ödəniş - Günəş Ticarət MMC ,,"1.248,72",TEST466346
BNK-000160,11/12/2023,Ödəniş - Qızıl Balıq Restoranı,,"4.997,51",TEST787351
BNK-000161,27/04/2024,Ödəniş - Qızıl Balıq Resto...,,"3.381,12",TEST707616
BNK-000162,26/02/2024,Fatura ödənişi - Bahar Qida MMC,,"368,01",TEST258290
BNK-000163,10/01/2024,Ödəniş - Bahar Qida MMC,,"1.637,43",TEST631981
BNK-000164,17/03/2024,Ödəniş - Çinar Tikinti MMC,,"2.668,49",TEST744883
BNK-000165,27/02/2024,Mədaxil  -  Öznur  xidmətləri,,"552,64",TEST164879
BNK-000166,21/03/2024,Fatura ödənişi - Öznur Xidmətləri,,"1.917,87",TEST648141
BNK-000167,21/03/2024,Toplu mədaxil,,"663,52",TEST726928
BNK-000168,24/03/2024,Fatura ödənişi - Qızıl Balıq Restoranı,,"3.672,04",TEST425301
BNK-000169,12/02/2024,Ödəniş - Xəzər Konsalting,,"4.273,43",TEST930117
BNK-000170,12/02/2024,Ödəniş - Qızıl Balıq Restoranı,,"4.273,43",TEST930117
BNK-000171,26/03/2024,Mədaxil - Zümrüd Logi...,,"2.229,86",TEST777406
BNK-000172,18/01/2024,Ödəniş - Günəş Ticarət MMC,,"822,35",TEST337547
BNK-000173,09/03/2024,  Malların dəyəri - Öznur Xidmətləri ,,"3.480,41",TEST975686
BNK-000174,22/01/2024,Toplu mədaxil,,"1.097,35",TEST908554
BNK-000175,25/02/2024,Malların dəyəri - Ulduz Tekstil,,"4.292,86",TEST653081
BNK-000176,14/01/2024,Fatura ödənişi - Zümrüd Logistika,,"3.739,78",TEST681478
BNK-000177,26/02/2024,Xidmət haqqı - Ulduz Tekstil,,"4.971,93",TEST254506
BNK-000178,20/02/2024,Ödəniş - Öznur Xidmətləri,,"2.641,96",TEST155843
BNK-000179,13/01/2024,Mədaxil  -  Şəfəq  baytarlıq  Kliniki,,"4.409,70",TEST434165
BNK-000180,01/03/2024,Ödəniş - İ...,,"2.361,96",TEST895702
BNK-000181,31/01/2024,Ödəniş - Qızıl Balıq Restoranı,,"2.211,09",TEST150068
BNK-000182,10/03/2024,Malların  dəyəri  -  ZÜMRÜD  Logistika,,"3.323,26",TEST725726
BNK-000183,14/03/2024,Fatura  ödənişi  -  Xəzər  konsalting,,"2.194,01",TEST352249
BNK-000184,07/01/2024,Ödəniş - Bahar Qida MMC,,"4.588,77",TEST681070
BNK-000185,03/01/2024,Ödəniş - Günəş Ticarət MMC,,"1.882,20",TEST883618
BNK-000186,12/02/2024,Ödəniş - Öznur Xidmətləri,,"242,44",TEST893435
BNK-000187,28/03/2024,Mədaxil  -  Şəfəq  BAYTARLIQ  Kliniki,,"2.445,96",TEST970720
BNK-000188,26/01/2024,Malların dəyəri - Şəms MMC,,"4.654,09",TEST145934
BNK-000189,03/02/2024,Mədaxil  -  QIZIL  Balıq  Restoranı,,"3.959,41",TEST596395
BNK-000190,21/02/2024,Xidmət haqqı - Bahar Qida MMC,,"3.907,07",TEST558176
BNK-000191,07/03/2024,Mədaxil - Günəş Ticarət MMC,,"1.408,38",TEST936020
BNK-000192,11/01/2024,Mədaxil - Qızıl Balıq Restoranı,,"1.729,24",TEST207581
BNK-000193,06/01/2024,Fatura ödənişi - Öznur Xidmətləri,,"3.820,60",TEST568849
BNK-000194,26/03/2024,Mədaxil - Çinar Tikinti MMC,,"3.352,40",TEST178686
BNK-000195,18/03/2024,Fatura ödənişi - Bahar Qida MMC,,"3.565,13",TEST989894
BNK-000196,26/02/2024,  Fatura ödənişi - Günəş Ticarət MMC ,,"4.010,76",TEST490084
BNK-000197,24/01/2024,Ödəniş - Zümrü...,,"2.626,42",TEST127172
BNK-000198,28/01/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"6.551,99",TEST567951
BNK-000199,10/01/2024,Fatura ödənişi - Xəzər Konsalting,,"2.380,00",TEST242321
BNK-000200,11/03/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"5.780,57",TEST168093
BNK-000201,16/02/2024,Toplu mədaxil,,"500,36",TEST768676
BNK-000202,13/03/2024,Ödəniş - Günəş Ticarət MMC,,"3.218,37",TEST942700
BNK-000203,29/01/2024,Ödəniş - Öznur Xidmətləri,,"667,07",TEST529322
BNK-000204,17/01/2024,Toplu mədaxil,,"1.195,80",TEST642491
BNK-000205,14/02/2024,Ödəniş - Günəş...,,"5.540,13",TEST336422
BNK-000206,12/01/2024,  Ödəniş - Qızıl Balıq Restoranı ,,"2.644,93",TEST659392
BNK-000207,12/01/2024,Ödəniş - Xəzər Konsalting,,"2.644,93",TEST659392
BNK-000208,14/03/2024,Malların dəyəri...,,"2.194,11",TEST904214
BNK-000209,01/04/2024,  Ödəniş - Bahar Qida MMC ,,"1.569,41",TEST356773
BNK-000210,29/02/2024,Fatura ödənişi - Öznur Xidmətləri,,"1.079,66",TEST607774
BNK-000211,17/02/2024,Ödəniş - Zümr...,,"2.709,97",TEST897615
BNK-000212,07/01/2024,Mədaxil - Çinar Tikinti MMC,,"1.531,54",TEST201514
BNK-000213,07/03/2024,Ödəniş - Şəms MMC,,"2.617,65",TEST589491
BNK-000214,15/03/2024,Xidmət...,,"1.860,18",TEST325595
BNK-000215,18/01/2024,fatura  ödənişi  -  Nərgiz  Dizayn  Studiyası,,"4.636,60",TEST551860
BNK-000216,11/03/2024,Malların dəyəri - Günəş T...,,"1.523,10",TEST480133
BNK-000217,17/01/2024,Toplu mədaxil,,"341,50",TEST740725
BNK-000218,06/03/2024,Mədaxil - Şəms MMC,,"247,52",TEST520884
BNK-000219,25/01/2024,Mədaxil - Zümrüd L...,,"4.692,58",TEST579187
BNK-000220,08/02/2024,Ödəniş - Öznur Xidmətləri,,"3.122,82",TEST875232
BNK-000221,08/02/2024,Ödəniş...,,"3.122,82",TEST875232
BNK-000222,27/03/2024,Ödəniş - Çinar Tikinti MMC,,"584,64",TEST447329
BNK-000223,15/03/2024,Mədaxil - Ulduz Tekstil,,"3.038,46",TEST787436
BNK-000224,18/02/2024,Ödəniş - Şəms MMC,,"1.694,54",TEST749840
BNK-000225,26/02/2024,Mədaxil - Çinar Tikinti MMC,,"1.654,65",TEST119857
BNK-000226,16/01/2024,Ödəniş - Xəzər Konsalting,,"3.710,29",TEST741181
BNK-000227,18/02/2024,Toplu mədaxil,,"1.009,74",TEST601608
BNK-000228,06/02/2024,Malların dəyəri - Ulduz Tekstil,,"3.705,71",TEST412071
BNK-000229,06/02/2024,Ödəniş - Qızıl Balıq Restoranı,,"1.377,49",TEST386741
BNK-000230,14/02/2024,Xidmət haqqı - Xəzər Konsalting,,"4.063,08",TEST958130
BNK-000231,28/01/2024,Ödəniş - Zümrüd Logistika,,"4.350,85",TEST602351
BNK-000232,19/03/2024,  Malların dəyəri - İpək Yolu Ticarət ,,"3.894,40",TEST214532
BNK-000233,13/01/2024,Malların dəyəri - Öznur Xidmətləri,,"2.176,88",TEST155040
BNK-000234,24/03/2024,Fatura ödənişi - Bahar Qid...,,"4.912,26",TEST526673
BNK-000235,12/01/2024,Ödəniş - İpək Yolu Ticarət,,"3.429,92",TEST906066
BNK-000236,23/01/2024,Mədaxil - Şəms MMC,,"4.906,44",TEST538184
BNK-000237,02/01/2024,Malların dəyəri - İpək Yolu Ticarət,,"1.574,43",TEST139286
BNK-000238,05/03/2024,  Fatura ödənişi - Nərgiz Dizayn Studiyası ,,"2.463,77",TEST992400
BNK-000239,04/02/2024,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,,"83,84",TEST779776
BNK-000240,23/03/2024,Ödəniş - Qızıl Balıq Restoranı,,"4.498,67",TEST302544
BNK-000241,16/01/2024,Mədaxil - Günəş Ticarət MMC,,"3.518,82",TEST443856
BNK-000242,03/02/2024,Fatura ödənişi - Ulduz Teksti...,,"2.021,03",TEST107161
BNK-000243,16/01/2024,Malların dəyəri - Nərgiz Dizayn Studiyası,,"2.450,01",TEST800224
BNK-000244,09/02/2024,Ödəniş - Qızıl Balıq Rest...,,"7.383,21",TEST907236
BNK-000245,18/01/2024,Malların dəyəri - Xəzər Konsalting,,"2.517,05",TEST329772
BNK-000246,09/03/2024,Toplu mədaxil,,"770,52",TEST675914
BNK-000247,30/03/2024,Xidmət  haqqı  -  İpək  Yolu  Ticarət,,"3.768,71",TEST221886
BNK-000248,13/01/2024,Fatura ödənişi - Qızıl Balıq Restoranı,,"2.434,19",TEST691303
BNK-000249,28/01/2024,Ödəniş - Günəş Ticarət MMC,,"3.042,01",TEST882032
BNK-000250,01/03/2024,Mədaxil - Nərgiz Dizayn Studiyası,,"176,38",TEST172371
BNK-000251,23/02/2024,Ödəniş - Çinar Tikinti MMC,,"4.683,15",TEST777255
BNK-000252,11/01/2024,Malların dəyəri - Qızıl Balıq Restoranı,,"3.589,47",TEST493892
BNK-000253,29/01/2024,Xidmət haqqı - Şəms MMC,,"4.386,86",TEST863214
BNK-000254,13/03/2024,  Mədaxil - Ulduz Tekstil ,,"4.326,77",TEST544730
BNK-000255,15/01/2024,  Ödəniş - Qızıl Balıq Restoranı ,,"178,91",TEST860242
BNK-000256,17/03/2024,  Ödəniş - Bahar Qida MMC ,,"186,03",TEST205797
BNK-000257,26/02/2024,Ödəniş  -  ZÜMRÜD  Logistika,,"1.238,61",TEST521805
BNK-000258,10/02/2024,  Ödəniş - Qızıl Balıq Restoranı ,,"3.144,81",TEST704095
BNK-000259,07/03/2024,Malların dəyəri - Çinar Tikinti MMC,,"1.168,90",TEST792282
BNK-000260,27/03/2024,Xidmət haqqı - Zümrüd Logistika,,"2.249,76",TEST756401
BNK-000261,23/02/2024,Malların dəyəri - Xəzər Konsalting,,"2.150,45",TEST830132
BNK-000262,19/01/2024,Xidmət haqqı - Bahar Qida MMC,,"4.234,58",TEST415344
BNK-000263,01/02/2024,Xidmət haqqı - Ulduz Tekstil,,"1.346,91",TEST507286
BNK-000264,25/01/2024,MALLARIN  dəyəri  -  Nərgiz  Dizayn  Studiyası,,"280,20",TEST661654
BNK-000265,25/05/2024,Ödəniş - Bahar Qida MMC,,"1.147,79",TEST716126
BNK-000266,28/01/2024,Xidmət haqqı - Ulduz Tekstil,,"4.923,41",TEST116078
BNK-000267,27/01/2024,Toplu mədaxil,,"1.029,35",TEST733760
BNK-000268,17/02/2024,Mədaxil - Çinar Tikinti MMC,,"1.650,61",TEST312994
BNK-000269,11/03/2024,  Fatura ödənişi - İpək Yolu Ticarət ,,"4.910,82",TEST373441
BNK-000270,18/02/2024,Fatura ödənişi - Uldu...,,"2.997,33",TEST341192
BNK-000271,03/03/2024,  Ödəniş - Şəfəq Baytarlıq Kliniki ,,"4.923,14",TEST772865
BNK-000272,03/03/2024,Ödəniş - Qızıl Balıq Restoranı,,"2.028,98",TEST673095
BNK-000273,26/03/2024,Mədaxil  -  Şəms  MMC,,"264,35",TEST957730
BNK-000274,26/03/2024,Ödəniş  -  İpək  Yolu  ticarət,,"4.906,34",TEST768706
BNK-000275,26/03/2024,Ödəniş - Bahar Qida MMC,,"4.906,34",TEST768706
BNK-000276,05/03/2024,mədaxil  -  Şəfəq  Baytarlıq  Kliniki,,"4.273,28",TEST117975
BNK-000277,20/03/2024,Ödəniş - Nərgiz Dizayn Studiyası,,"2.770,14",TEST301255
BNK-000278,13/03/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"1.285,10",TEST581294
BNK-000279,05/01/2024,Ödəniş - Çinar Tikinti MMC,,"500,21",TEST896483
BNK-000280,05/01/2024,Ödəniş - Çinar Tikinti MMC,,"500,21",TEST896483
BNK-000281,25/02/2024,Ödəniş - Öznur Xidmətləri,,"3.391,17",TEST624139
BNK-000282,28/01/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"4.735,26",TEST340927
BNK-000283,13/03/2024,Toplu mədaxil,,"816,49",TEST393992
BNK-000284,21/02/2024,Ödəniş - Şəfəq Baytarlıq Kliniki,,"4.154,48",TEST447843
BNK-000285,25/02/2024,Malların dəyəri - Günəş Ticarət MMC,,"1.227,10",TEST202430
BNK-000286,11/02/2024,Xidmət haqqı - Qızıl Balıq Restoranı,,"165,32",TEST911131
BNK-000287,18/02/2024,Ödəniş - Xəzər Konsalting,,"2.274,12",TEST679902
BNK-000288,01/02/2024,Mədaxil - Günəş Ticarət MMC,,"3.748,74",TEST936821
BNK-000289,14/01/2024,FATURA  ödənişi  -  Şəms  MMC,,"489,83",TEST478221
