id,date,description,amount,account_ref
LGR-000041,2024-01-27,Ödəniş - Zümrüd Logistika,7308.92,TEST459536
LGR-000042,2024-03-22,Ödəniş  -  Nərgiz  Dizayn  Studiyası,2230.75,TEST196781
LGR-000043,2024-02-24,Ödəniş - Günəş Ticarət MMC,60.69,TEST678478
LGR-000044,2024-01-05,Malların dəyəri - Öznur Xidmətləri,4385.68,TEST672092
LGR-000045,2024-01-27,Ödəniş - Ulduz Tekstil,3585.99,TEST475190
LGR-000046,2024-01-20,Mədaxil - Ulduz Tekstil,4863.66,TEST750810
LGR-000047,2024-02-12,Mədaxil -...,4111.95,TEST288073
LGR-000048,2024-01-26,  Mədaxil - Nərgiz Dizayn Studiyası ,1843.21,TEST333238
LGR-000049,2024-02-05,Fatura ödənişi - Günəş Ticarət MMC,4541.69,TEST444207
LGR-000050,2024-01-04,Mədaxil - Nərgiz Dizayn Studiyası,4608.20,TEST447235
LGR-000051,2024-03-17,Fatura ödənişi - Öznur Xidmətləri,2288.36,TEST213668
LGR-000052,2024-02-25,Malların dəyəri - Zümrüd Logistika,18.86,TEST843215
LGR-000053,2024-02-12,Ödəniş - Öznur Xidmətləri,3277.12,TEST796503
LGR-000054,2024-02-21,Mədaxil - Ulduz Tekstil,466.92,TEST528231
LGR-000055,2024-02-20,Mədaxil - Qızıl Balıq Restoranı,203.76,TEST528231
LGR-000056,2024-02-21,Mədaxil - İpək Yolu Ticarət,373.33,TEST528231
LGR-000057,2024-01-01,Mədaxil - Nərgiz Dizayn Studiyası,1603.17,TEST674553
LGR-000058,2024-02-26,Mədaxil - Qızıl Balıq Restoranı,2328.19,TEST587575
LGR-000059,2024-03-25,Fatura  ödənişi  -  İpək  Yolu  Ticarət,3328.43,TEST640490
LGR-000060,2024-01-06,Malların dəyəri - Bahar Qida MMC,1293.68,TEST125611
LGR-000061,2024-01-25,Ödəniş - Şəfəq Baytarlıq Kliniki,3776.20,TEST703634
LGR-000062,2024-01-25,  Ödəniş - Çinar Tikinti MMC ,3776.20,TEST703634
LGR-000063,2024-03-30,Ödəniş - Bahar Qida MMC,2725.59,TEST284430
LGR-000064,2024-03-08,Xidmət haqqı - Öznur Xidmətləri,3131.88,TEST800005
LGR-000065,2024-03-11,Xidmət haqqı - Xəzər Konsalting,4713.95,TEST547470
LGR-000066,2024-03-07,Ödəniş -...,2550.68,TEST390782
LGR-000067,2024-03-07,Ödəniş - Ulduz Tekstil,2550.68,TEST390782
LGR-000068,2024-01-30,Mədaxil - Şəfəq Baytarlıq Kliniki,2018.20,TEST258157
LGR-000069,2024-02-29,Mədaxil - Şəms MMC,2189.85,TEST668969
LGR-000070,2024-01-03,Çek ödənişi - İpək Yolu Ticarət,-4501.74,TEST829308
LGR-000071,2024-02-08,Xidmət haqqı - Çinar Tikinti MMC,3960.37,TEST468845
LGR-000072,2024-01-29,Xidmət  haqqı  -  Çinar  Tikinti  MMC,1440.96,TEST611945
LGR-000073,2024-03-20,Malların dəyəri - Çinar Tikinti MMC,151.38,TEST233827
LGR-000074,2024-01-07,Mədaxil - Öznur Xidmətləri,1997.59,TEST290556
LGR-000075,2024-02-23,Xidmət  haqqı  -  Günəş  TICARƏT  MMC,1332.62,TEST888539
LGR-000076,2024-03-24,  Mədaxil - Şəms MMC ,221.06,TEST919182
LGR-000077,2024-03-01,Malların dəyəri - Günəş Ticarət MMC,3519.89,TEST232352
LGR-000078,2024-01-22,Ödəniş - Şəfəq Baytarlıq Kliniki,3193.72,TEST486814
LGR-000079,2024-01-14,Fatura ödənişi - Şəms MMC,3043.97,TEST426147
LGR-000080,2024-01-10,Ödəniş - Günəş Ticarət MMC,6308.59,TEST307963
LGR-000081,2024-03-13,Fatura ödənişi - Şəms MMC,4113.26,TEST934904
LGR-000082,2024-03-03,Fatura ödənişi - Çinar Tikinti MMC,563.32,TEST962276
LGR-000083,2024-03-07,Xidmət haqqı - Zümrüd Logistika,3239.15,TEST284692
LGR-000084,2024-02-11,Çek ödənişi - Ulduz Tekstil,-4475.42,TEST381433
LGR-000085,2024-02-27,Malların dəyəri - Bahar Qida MMC,1288.54,TEST392477
LGR-000086,2024-03-03,Fatura ödənişi - Öznur Xi...,1122.11,TEST290672
LGR-000087,2024-01-11,Xidmət haqqı - Çinar Tikinti MMC,3785.26,TEST300337
LGR-000088,2024-03-03,Ödəniş - Şəm...,4167.25,TEST777278
LGR-000089,2024-03-15,Malların dəyəri - Bahar Qida MMC,1944.72,TEST796212
LGR-000090,2024-02-15,Mədaxil - Baha...,3694.98,TEST446859
LGR-000091,2024-01-25,Malların dəyəri - Günəş Ticarət MMC,1664.38,TEST226516
LGR-000092,2024-02-05,Ödəniş - Zümrüd Logistika,3808.91,TEST607719
LGR-000093,2024-01-30,Fatura  ödənişi  -  Xəzər  KONSALTING,1902.05,TEST410636
LGR-000094,2024-03-30,Mədaxil - Xəzər Konsalting,4959.74,TEST406327
LGR-000095,2024-01-14,Ödəniş - Nərgiz Dizayn Studiyası,3019.74,TEST614723
LGR-000096,2024-02-02,Ödəniş - Bahar Qida MMC,4943.88,TEST153872
LGR-000097,2024-03-28,Mədaxil  -  XƏZƏR  Konsalting,291.06,TEST760021
LGR-000098,2024-03-12,Malların dəyəri - Çinar Tikinti MMC,4017.88,TEST224205
LGR-000099,2024-02-27,Xidmət haqqı - İpək Yolu...,1568.98,TEST498855
LGR-000100,2024-03-21,Ödəniş  -  Qızıl  Balıq  Restoranı,1397.50,TEST317881
LGR-000101,2024-02-05,Mədaxil - Nərgiz Dizayn Studiyası,31.39,TEST722656
LGR-000102,2024-02-06,Mədaxil - Günəş Ticarət MMC,161.70,TEST722656
LGR-000103,2024-02-06,Mədaxil - Qızıl Balıq Restoranı,198.81,TEST722656
LGR-000104,2024-01-15,Mədaxil - Ulduz Tekstil,2865.07,TEST545790
LGR-000105,2024-03-13,Çek ödənişi - Nərgiz Dizayn Studiyası,-4839.70,TEST885339
LGR-000106,2024-02-08,Malların dəyəri - Nərgiz Dizayn Studiyası,4952.33,TEST822131
LGR-000107,2024-02-25,Çek ödənişi - Öznur Xidmətləri,-3861.07,TEST141797
LGR-000108,2024-01-30,Malların dəyəri - İpək Yolu Ticarət,3545.26,TEST195763
LGR-000109,2024-01-23,Ödəniş - Qızıl Balıq Restoranı,2730.86,TEST893005
LGR-000110,2024-03-03,Xidmət haqqı - Öznur Xidmət...,2474.20,TEST765620
LGR-000111,2024-03-24,Mədaxil - Günəş...,272.44,TEST619536
LGR-000112,2024-03-25,Mədaxil - Çinar Tikinti MMC,370.51,TEST619536
LGR-000113,2024-03-25,Mədaxil - Qızıl Balıq Restoranı,34.04,TEST619536
LGR-000114,2024-01-07,Malların dəyəri - Öznur Xidmətləri,2728.11,TEST533321
LGR-000115,2024-01-27,Ödəniş - Xəzər Konsalting,2889.49,TEST154118
LGR-000116,2024-01-04,  Mədaxil - Şəfəq Baytarlıq Kliniki ,422.89,TEST608257
LGR-000117,2024-01-02,Mədaxil - Şəms MMC,409.03,TEST608257
LGR-000118,2024-01-15,Mədaxil - Günəş Ticarət MMC,2429.31,TEST335615
LGR-000119,2024-03-02,Xidmət haqqı - Ulduz Tekstil,2485.79,TEST535673
LGR-000120,2024-01-18,Çek ödənişi - Günəş...,-4539.98,TEST632929
LGR-000121,2024-03-05,Fatura ödənişi - Şəms MMC,1410.75,TEST925981
LGR-000122,2024-02-26,Mədaxil - Öznur Xidmətləri,362.96,TEST613425
LGR-000123,2024-02-25,Mədaxil - Çinar Tikinti MMC,327.41,TEST613425
LGR-000124,2024-03-30,  Xidmət haqqı - İpək Yolu Ticarət ,1262.02,TEST297816
LGR-000125,2024-03-25,Mədaxil - Qızıl Balıq Restoranı,4164.42,TEST504832
LGR-000126,2024-02-26,Xidmət  HAQQI  -  Zümrüd  Logistika,532.77,TEST986088
LGR-000127,2024-01-10,Mədaxil - Qızıl Balıq Restoranı,225.32,TEST516791
LGR-000128,2024-01-10,MƏDAXIL  -  Zümrüd  Logistika,451.94,TEST516791
LGR-000129,2024-01-09,Mədaxil - Nərgiz Dizayn Studiyası,359.71,TEST516791
LGR-000130,2024-01-09,Mədaxil - Günəş Ticarət MMC,259.04,TEST516791
LGR-000131,2024-03-22,  Xidmət haqqı - Günəş Ticarət MMC ,3700.41,TEST897305
LGR-000132,2024-01-08,Fatura ödənişi - Öznur Xidmətləri,1548.09,TEST440131
LGR-000133,2024-01-24,Mədaxil  -  Xəzər  konsalting,901.20,TEST814919
LGR-000134,2024-03-15,Xidmət haqqı - Ulduz Tekstil,760.34,TEST621841
LGR-000135,2024-03-27,Xidmət haqqı - Günəş Ticarət MMC,838.24,TEST401603
LGR-000136,2024-02-24,Xidmət haqqı - Nərgiz Dizayn Studiyası,3629.23,TEST769975
LGR-000137,2024-01-31,Malların dəyəri - Öznur Xidm...,3008.52,TEST211834
LGR-000138,2024-01-02,Mədaxil - İpək Yolu Ticarət,380.88,TEST515032
LGR-000139,2024-01-01,Mədaxil - Ulduz Tekstil,459.44,TEST515032
LGR-000140,2024-01-01,Mədaxil - Ulduz Tekstil,498.02,TEST515032
LGR-000141,2024-03-27,Ödəniş - Şəfəq Baytarlıq Kliniki,3971.40,TEST362801
LGR-000142,2024-03-27,ödəniş  -  Qızıl  Balıq  Restoranı,3971.40,TEST362801
LGR-000143,2024-02-16,Ödəniş - Xəzər Konsalting,3849.67,TEST707727
LGR-000144,2024-01-17,Fatura ödənişi - Zümrüd Logistika,4133.59,TEST310548
LGR-000145,2024-03-02,Fatura ödənişi - Nərgiz Dizayn Studiyası,4238.32,TEST964749
LGR-000146,2024-01-29,Xidmət haqqı - Qızıl Balıq Restoranı,4519.61,TEST890785
LGR-000147,2024-02-03,Xidmət haqqı - Günəş Ticarət MMC,2823.18,TEST114594
LGR-000148,2024-01-14,Ödəniş  -  ulduz  Tekstil,3548.08,TEST489518
LGR-000149,2024-01-14,  Ödəniş - Bahar Qida MMC ,3548.08,TEST489518
LGR-000150,2024-01-06,Fatura ödənişi - Şəms MMC,4971.13,TEST246566
LGR-000151,2024-03-30,Xidmət haqqı - Zümrüd Logistika,4969.62,TEST803055
LGR-000152,2024-03-03,Ödəniş  -  ÇINAR  Tikinti  MMC,3237.79,TEST203831
LGR-000153,2024-03-03,Ödəniş - Nərgiz Dizayn Studiyası,3237.79,TEST203831
LGR-000154,2024-03-23,Mədaxil - Günəş Ticarət MMC,245.06,TEST485178
LGR-000155,2024-03-22,Mədaxil - Günəş Ticarət MMC,49.68,TEST485178
LGR-000156,2024-03-21,Mədaxil - Qızıl Balıq Restoranı,270.92,TEST485178
LGR-000157,2024-03-23,Mədaxil - Şəms MMC,190.80,TEST485178
LGR-000158,2024-03-13,  Malların dəyəri - Günəş Ticarət MMC ,1085.86,TEST232040
LGR-000159,2024-01-19,Ödəniş - İ...,4144.76,TEST444519
LGR-000160,2024-03-25,Mədaxil  -  Şəms  MMC,4552.68,TEST215266
LGR-000161,2024-02-23,Ödəniş - Günəş Ticarət MMC,2768.20,TEST232915
LGR-000162,2024-03-05,Ödəniş - İpək Yolu Ticarət,1171.55,TEST573962
LGR-000163,2024-03-02,Xidmət haqqı - Çinar Tikinti MMC,4452.28,TEST163780
LGR-000164,2024-01-11,Ödəniş  -  XƏZƏR  Konsalting,3199.23,TEST177060
LGR-000165,2024-03-05,Ödəniş - Çinar Tikinti MMC,3184.18,TEST575755
LGR-000166,2024-03-11,Ödəniş - Ulduz Tekstil,3789.27,TEST906315
LGR-000167,2024-03-11,  Ödəniş - Çinar Tikinti MMC ,3789.27,TEST906315
LGR-000168,2024-02-10,Ödəniş - Q...,2247.47,TEST199704
LGR-000169,2024-01-12,Ödəniş - Çinar Tikinti MMC,498.79,TEST170394
LGR-000170,2024-01-08,Malların...,3084.76,TEST683397
LGR-000171,2024-01-06,Mədaxil - Günəş Ticarət MMC,198.50,TEST886730
LGR-000172,2024-01-07,Mədaxil - Xəzər Konsalting,403.48,TEST886730
LGR-000173,2024-01-07,Mədaxil - Günəş Ticarət MMC,214.76,TEST886730
LGR-000174,2024-01-15,Mədaxil - Nərgiz Dizayn Studiyası,4008.24,TEST485415
LGR-000175,2024-03-12,Malların dəyəri - İpək Yolu Ticarət,4033.55,TEST986209
LGR-000176,2024-01-24,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,1442.72,TEST130359
LGR-000177,2024-01-19,Ödəniş  -  Qızıl  Balıq  RESTORANI,3894.81,TEST172965
LGR-000178,2024-02-09,Malların dəyəri - Öznur Xidmətləri,3793.24,TEST488028
LGR-000179,2024-01-07,Ödəniş - Bahar Qida MMC,1436.60,TEST747850
LGR-000180,2024-02-04,Ödəniş -...,3968.07,TEST534303
LGR-000181,2024-03-26,Xidmət haqqı - Ulduz Tekstil,248.11,TEST652530
LGR-000182,2024-01-18,Fatura...,4016.40,TEST904624
LGR-000183,2024-02-18,Mədaxil - Şəfəq Baytarlıq Kliniki,2802.26,TEST235461
LGR-000184,2024-01-10,Malların dəyəri - Öznur Xidmətləri,4529.93,TEST582087
LGR-000185,2024-01-15,  Fatura ödənişi - Şəms MMC ,2133.53,TEST403578
LGR-000186,2024-02-24,Mədaxil - İpək Yolu Ticarət,79.37,TEST479430
LGR-000187,2024-02-25,Mədaxil - Çinar Tikinti MMC,169.45,TEST479430
LGR-000188,2024-01-29,ödəniş  -  Xəzər  Konsalting,1756.23,TEST456005
LGR-000189,2024-02-14,Ödəniş  -  Günəş  Ticarət  MMC,1248.72,TEST466346
LGR-000190,2024-01-10,Ödəniş - Qızıl Balıq Restoranı,4997.51,TEST787351
LGR-000191,2024-02-27,Ödəniş - Qızıl Balıq Restoranı,3381.12,TEST707616
LGR-000192,2024-02-26,Xidmət haqqı - Bahar Qida MMC,368.01,TEST258290
LGR-000193,2024-01-10,Xidmət  haqqı  -  Bahar  Qida  MMC,1637.43,TEST631981
LGR-000194,2024-03-17,Xidmət haqqı - Çinar Tikinti MMC,2668.49,TEST744883
LGR-000195,2024-01-25,Mədaxil - İpək Yolu Ticarət,1695.72,TEST783501
LGR-000196,2024-02-27,Ödəniş - Öznur Xidmətləri,552.64,TEST164879
LGR-000197,2024-03-19,Fatura ödənişi - Öznur Xidmətləri,1917.87,TEST648141
LGR-000198,2024-03-21,Mədaxil  -  Öznur  XIDMƏTLƏRI,434.21,TEST726928
LGR-000199,2024-03-19,Mədaxil - Qızıl Balıq Restoranı,229.31,TEST726928
LGR-000200,2024-02-12,Çek ödənişi - İpək Yolu Ticarət,-437.30,TEST257677
LGR-000201,2024-03-24,Xidmət  haqqı  -  Qızıl  Balıq  restoranı,3672.04,TEST425301
LGR-000202,2024-02-12,Ödəniş - Xəzər Konsalting,4273.43,TEST930117
LGR-000203,2024-02-12,Ödəniş - Qızıl Balıq Restoranı,4273.43,TEST930117
LGR-000204,2024-03-26,Fatura  ödənişi  -  Zümrüd  Logistika,2229.86,TEST777406
LGR-000205,2024-01-18,Fatura ödənişi - Günəş Ticarət MMC,822.35,TEST337547
LGR-000206,2024-03-08,Malların  dəyəri  -  ÖZNUR  Xidmətləri,3480.41,TEST975686
LGR-000207,2024-01-21,Mədaxil - Qızıl Balıq Restoranı,482.63,TEST908554
LGR-000208,2024-01-21,Mədaxil - İpək Yolu...,296.83,TEST908554
LGR-000209,2024-01-22,  Mədaxil - Zümrüd Logistika ,38.63,TEST908554
LGR-000210,2024-01-21,Mədaxil - Ulduz Tekstil,279.26,TEST908554
LGR-000211,2024-02-29,Mədaxil - Nərgiz Dizayn Studiyası,4044.07,TEST561999
LGR-000212,2024-02-23,Malların  dəyəri  -  Ulduz  Tekstil,4292.86,TEST653081
LGR-000213,2024-01-14,Ödəniş - Zü...,3739.78,TEST681478
LGR-000214,2024-02-25,Xidmət haqqı - Ulduz Tekstil,4971.93,TEST254506
LGR-000215,2024-02-20,Mədaxil - Öznur Xidmətləri,2641.96,TEST155843
LGR-000216,2024-01-13,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,4409.70,TEST434165
LGR-000217,2024-03-01,Ödəniş - İpək Yolu Ticarət,2361.96,TEST895702
LGR-000218,2024-03-18,Mədaxil  -  ÇINAR  Tikinti  MMC,2777.04,TEST862560
LGR-000219,2024-01-31,Malların dəyəri - Qızıl Balıq Restoranı,2211.09,TEST150068
LGR-000220,2024-03-09,  Malların dəyəri - Zümrüd Logistika ,3323.26,TEST725726
LGR-000221,2024-03-14,Ödəniş - Xəzər Konsalting,2194.01,TEST352249
LGR-000222,2024-01-03,Ödəniş - Bahar Qida MMC,4588.77,TEST681070
LGR-000223,2024-01-03,  Fatura ödənişi - Günəş Ticarət MMC ,1882.20,TEST883618
LGR-000224,2024-02-12,Ödəniş - Öznur Xidmətləri,709.45,TEST893435
LGR-000225,2024-03-28,Xidmət haqqı - Şəfəq Baytarlıq Kliniki,2445.96,TEST970720
LGR-000226,2024-01-26,Fatura ödənişi - Şəms MMC,4654.09,TEST145934
LGR-000227,2024-02-02,Mədaxil - Qızıl Balıq Restoran...,3959.41,TEST596395
LGR-000228,2024-02-21,Xidmət haqq...,3907.07,TEST558176
LGR-000229,2024-03-07,Xidmət  haqqı  -  Günəş  ticarət  MMC,1408.38,TEST936020
LGR-000230,2024-01-11,Fatura ödənişi - Qızıl Balıq Rest...,1729.24,TEST207581
LGR-000231,2024-01-06,Malların dəyəri - Öznur Xidmətləri,3820.60,TEST568849
LGR-000232,2024-03-26,Fatura ödənişi - Çinar Tikinti MMC,3352.40,TEST178686
LGR-000233,2024-03-18,Ödəniş  -  Bahar  Qida  MMC,3565.13,TEST989894
LGR-000234,2024-03-18,Mədaxil - Qızıl Balıq Restoranı,814.45,TEST133958
LGR-000235,2024-02-26,Malların  dəyəri  -  Günəş  Ticarət  MMC,4010.76,TEST490084
LGR-000236,2024-01-24,Xidmət haqqı - Zümrüd Logistika,2626.42,TEST127172
LGR-000237,2024-01-28,Ödəniş - Şəfəq Baytarlıq Kliniki,6515.99,TEST567951
LGR-000238,2024-01-10,Xidmət haqqı - Xəzər Konsalting,2380.00,TEST242321
LGR-000239,2024-03-11,Ödəniş - Nərgiz Dizayn Studiyası,5785.07,TEST168093
LGR-000240,2024-02-16,Mədaxil - Ulduz Tekstil,343.41,TEST768676
LGR-000241,2024-02-16,Mədaxil  -  Bahar  Qida  mmc,156.95,TEST768676
LGR-000242,2024-03-11,Ödəniş - Günəş Ticarə...,3218.37,TEST942700
LGR-000243,2024-03-14,Ödəniş - Öznur Xidmətləri,667.07,TEST529322
LGR-000244,2024-01-17,Mədaxil - Xəzər Konsalting,371.30,TEST642491
LGR-000245,2024-01-17,Mədaxil - Günəş Ticarət MMC,429.29,TEST642491
LGR-000246,2024-01-16,  Mədaxil - Xəzər Konsalting ,395.21,TEST642491
LGR-000247,2024-02-14,Ödəniş - Günəş Ticarət...,5541.03,TEST336422
LGR-000248,2024-01-12,Ödəniş - Qızıl Balıq Restoranı,2644.93,TEST659392
LGR-000249,2024-01-12,Ödəniş - Xəzər Konsalting,2644.93,TEST659392
LGR-000250,2024-03-13,Çek  ödənişi  -  Şəms  MMC,-225.97,TEST454019
LGR-000251,2024-03-14,Ödəniş - İpək Yolu Ticarət,2194.11,TEST904214
LGR-000252,2024-03-28,Ödəniş - Bahar Qida MMC,1569.41,TEST356773
LGR-000253,2024-02-29,Malların  dəyəri  -  Öznur  Xidmətləri,1079.66,TEST607774
LGR-000254,2024-02-17,Ödəniş - Zümrüd Logi...,2709.97,TEST897615
LGR-000255,2024-01-07,Malların dəyəri - Çinar Tikinti MMC,1531.54,TEST201514
LGR-000256,2024-02-10,Mədaxil - Xəzər Konsalting,1005.27,TEST856157
LGR-000257,2024-03-04,Ödəniş - Şəms MMC,2617.65,TEST589491
LGR-000258,2024-03-15,Ödəniş - Şəms M...,1860.18,TEST325595
LGR-000259,2024-01-18,Fatura ödənişi - Nərgiz Dizayn Studiyası,4636.60,TEST551860
LGR-000260,2024-03-11,Xidmət haqqı - Günəş Ticarət MMC,1523.10,TEST480133
LGR-000261,2024-01-16,Mədaxil - Öznur Xidmətləri,73.36,TEST740725
LGR-000262,2024-01-16,  Mədaxil - Xəzər Konsalting ,268.14,TEST740725
LGR-000263,2024-03-05,Mədaxil - Şəms MMC,247.52,TEST520884
LGR-000264,2024-01-20,Mədaxil - Zümrüd Logistik...,4692.58,TEST579187
LGR-000265,2024-02-08,Ödəniş - Öznur Xidmətləri,3122.82,TEST875232
LGR-000266,2024-02-08,Ödəniş - Zümrüd Logistika,3122.82,TEST875232
LGR-000267,2024-03-27,Malların dəyəri - Çinar Tikinti MM...,584.64,TEST447329
LGR-000268,2024-03-15,Ödəniş - Ulduz Tekstil,3038.46,TEST787436
LGR-000269,2024-02-18,Ödəniş - Şəms MMC,1649.54,TEST749840
LGR-000270,2024-02-26,Mədaxil - Çinar Tikinti MMC,1654.65,TEST119857
LGR-000271,2024-03-01,Ödəniş - Xəzər Konsalting,3710.29,TEST741181
LGR-000272,2024-02-17,Mədaxil - Zümrüd Logistika,215.62,TEST601608
LGR-000273,2024-02-16,Mədaxil - Qızıl Balıq Restoranı,123.49,TEST601608
LGR-000274,2024-02-16,Mədaxil - Nərgiz Dizayn Studiyası,311.24,TEST601608
LGR-000275,2024-02-18,Mədaxil - Ulduz...,359.39,TEST601608
LGR-000276,2024-02-06,Xidmət haqqı - Ul...,3705.71,TEST412071
LGR-000277,2024-02-06,Ödəniş - Qızıl Balıq Restoranı,1377.94,TEST386741
LGR-000278,2024-02-14,FATURA  ödənişi  -  Xəzər  Konsalting,4063.08,TEST958130
LGR-000279,2024-01-28,Ödəniş - Zümrüd Logisti...,1069.41,TEST602351
LGR-000280,2024-03-19,  Mədaxil - İpək Yolu Ticarət ,3894.40,TEST214532
LGR-000281,2024-01-13,Xidmət  HAQQI  -  Öznur  Xidmətləri,2176.88,TEST155040
LGR-000282,2024-03-24,Xidmət haqqı - Bahar Qida MMC,4912.26,TEST526673
LGR-000283,2024-01-12,Mədaxil - İpək Yolu Ticarət,3429.92,TEST906066
LGR-000284,2024-01-23,Xidmət haqqı - Şəms MMC,4906.44,TEST538184
LGR-000285,2024-01-02,Malların  dəyəri  -  İpək  Yolu  Ticarət,1574.43,TEST139286
LGR-000286,2024-03-05,Mədaxil - Nərgiz Dizayn Studiyası,2463.77,TEST992400
LGR-000287,2024-02-02,Fatura ödənişi - Şəfəq Baytarlıq Kliniki,83.84,TEST779776
LGR-000288,2024-01-23,Ödəniş - Qızıl Balıq Restoranı,4498.67,TEST302544
LGR-000289,2024-01-12,Mədaxil - Günəş Ticarət MMC,3518.82,TEST443856
LGR-000290,2024-02-03,Xidmət haqqı - Ulduz Tekstil,2021.03,TEST107161
LGR-000291,2024-02-03,Mədaxil - Öznur Xidmətləri,3437.18,TEST111991
LGR-000292,2024-01-16,Mədaxil - Nərgiz Dizayn Studiyası,2450.01,TEST800224
LGR-000293,2024-02-09,Ödəniş - Qızıl Balıq Restoranı,7338.21,TEST907236
LGR-000294,2024-01-18,Xidmət haqqı - Xəzər Konsalting,2517.05,TEST329772
LGR-000295,2024-03-07,Mədaxil - İpək Yolu Ticarət,445.22,TEST675914
LGR-000296,2024-03-09,Mədaxil - Zümrüd Logistika,153.13,TEST675914
LGR-000297,2024-03-07,MƏDAXIL  -  Öznur  Xidmətləri,172.17,TEST675914
LGR-000298,2024-01-26,Mədaxil  -  zümrüd  Logistika,3012.60,TEST630041
LGR-000299,2024-03-28,Xidmət  haqqı  -  İpək  YOLU  Ticarət,3768.71,TEST221886
LGR-000300,2024-01-08,Fatura ödənişi - Qızıl Balıq Restoranı,2434.19,TEST691303
LGR-000301,2024-01-28,Ödəniş - Günəş Ticarət MMC,3042.01,TEST882032
LGR-000302,2024-03-01,  Xidmət haqqı - Nərgiz Dizayn Studiyası ,176.38,TEST172371
LGR-000303,2024-02-23,Ödəniş - Çinar Tikinti MMC,1973.25,TEST777255
LGR-000304,2024-01-11,Malların  dəyəri  -  Qızıl  Balıq  Restoranı,3589.47,TEST493892
LGR-000305,2024-01-29,Ödəniş - Şəms MMC,4386.86,TEST863214
